鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
信義區,房地(土地+建物)+車位,臺北市信義區松德路２００巷１０號十四樓,30.27,都市：其他:特定業務區(信義計畫特定專用區)。,,,1130402,土地1建物1車位2,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880621,227.19,3,2,2,有,有,69090000,304107,坡道平面,71.52,0,陽台外推；,RPUNMLKKMHJGFDA57DA,98.68,1.16,14.1,有,
信義區,房地(土地+建物),臺北市信義區松隆路２１５巷２號五樓,24.7,商,,,1130412,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740504,113.25999999999999,5,2,3,有,無,13000000,114780,,0.0,0,土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；陽台外推；頂樓加蓋；,RPQOMLMKMHJGFDA47DA,75.16,10.85,16.87,無,
松山區,房地(土地+建物),臺北市松山區民生東路五段１７０號十三樓之３,16.0,商,,,1130421,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680521,127.95,3,2,2,有,有,32500000,254005,,0.0,0,其他增建；,RPPNMLPLMHJGFDA67DA,100.25,0.0,10.7,有,
松山區,房地(土地+建物),臺北市松山區民生東路四段７１之１號二樓,30.49,商,,,1130411,土地7建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640415,81.38,2,1,1,有,無,23000000,282625,,0.0,0,,RPUNMLPLMHJGFDA18DA,81.38,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區基隆路一段３８０巷２６號十一樓,22.13,商,,,1130421,土地3建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720901,108.16000000000001,3,2,1,有,有,29380000,271635,,0.0,0,鐵鋁窗增建,RPSQMLKMMHJGFDA87DA,71.02,0.0,7.27,有,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段８００號十二樓之７,7.4,住,,,1130421,土地3建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0960103,41.78,1,1,1,有,有,13600000,325515,,0.0,0,陽台外推；夾層；,RPPNMLPJNHJGFDA57DA,22.25,0.0,3.68,有,
信義區,房地(土地+建物),臺北市信義區莊敬路３５２號五樓,24.84,商,,,1130426,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701221,123.24,4,1,2,有,無,29800000,241805,,0.0,0,其他增建；,RPUOMLSJNHJGFDA48DA,98.52,0.0,16.8,有,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段３６５號二樓之６,9.3,商,,,1130422,土地3建物1車位0,二層，三層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0940531,72.4,2,1,1,有,有,24080000,332597,,0.0,0,其他增建；,RPWNMLKKNHJGFDA87DA,42.49,0.0,1.52,有,
松山區,房地(土地+建物),臺北市松山區南京東路五段３４１號二樓,6.43,商,,,1130411,土地1建物1車位0,二層，電梯樓梯間,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841213,52.46,2,1,1,有,無,13500000,257339,,0.0,0,陽台外推；,RPQOMLPKNHJGFDA87DA,40.97,2.48,3.89,有,
松山區,房地(土地+建物),臺北市松山區八德路三段１０６巷１號十樓之７,5.25,商,,,1130420,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850517,21.990000000000002,1,1,1,有,有,6500000,295589,,0.0,0,,RPUNMLKLNHJGFDA77DA,14.49,0.0,1.81,有,
