鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷６５號九樓,12.41,住,,,1110428,土地2建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,68.89,1,1,1,有,有,8300000,120464,,0.0,0,E區沐樂公設價格已包含在總價內：52000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：-531元預售屋、或土地及建物分件登記案件；,RPTQMLMLNHJGFDF78EA,39.56,2.21,3.81,有,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段４１巷５５號七樓,15.43,住,,,1110419,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130126,109.93,2,2,2,有,有,9630000,98259,坡道平面,31.26,1900000,讓與日期：111年4月19日，權利讓渡總價為新台幣1100萬元整。預售屋、或土地及建物分件登記案件；,RPURMLQKNHJGFBF98DA,49.1,0.0,4.02,有,
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段８７５號十二樓,16.71,商,,,1110306,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120727,171.26999999999998,3,2,2,有,有,12810000,83854,坡道平面,35.2,1400000,配偶更名，更名日期113年1月31日。預售屋、或土地及建物分件登記案件；,RPWPMLQLKHJGFEF09DA,85.6,0.0,3.67,有,
新店區,房地(土地+建物)+車位,新北市新店區安康路二段１５９巷２７之１號六樓,15.51,住,,,1110316,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1120821,78.37,1,1,1,有,有,9760000,131453,坡道機械,11.73,1000000,預售屋、或土地及建物分件登記案件；,RPSOMLTLLHJGFCF78DA,41.71,0.0,4.27,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷３５號十一樓,16.41,住,,,1110222,土地2建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,128.14000000000001,2,2,1,有,有,11250000,108242,坡道平面,37.13,1400000,E區沐樂公設價格已包含在總價內：68000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：24024元預售屋、或土地及建物分件登記案件；,RPTNMLMLNHJGFDF48EA,53.62,3.24,3.49,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷３１號九樓,15.81,住,,,1110222,土地2建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,125.23,2,2,1,有,有,11200000,107264,坡道平面,37.13,1750000,E區沐樂公設價格已包含在總價內：66000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：-19749元預售屋、或土地及建物分件登記案件；,RPUNMLMLNHJGFDF58EA,52.77,3.14,2.4,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷４３號四樓,21.42,住,,,1110210,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,156.18,3,2,2,有,有,13750000,99538,坡道平面,37.13,1900000,E區沐樂公設價格已包含在總價內：88000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：-18291元預售屋、或土地及建物分件登記案件；,RPVNMLMLNHJGFDF68EA,68.77,4.2,5.93,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷９３號五樓,21.18,住,,,1110210,土地2建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,154.72,3,2,2,有,有,14180000,104422,坡道平面,37.13,1900000,E區沐樂公設價格已包含在總價內：88000元讓渡日/指定登記配偶日：113/02/26    讓渡價格：14180000 元第一次測量後因面積修正而總價找補，金額：3435元預售屋、或土地及建物分件登記案件；,RPOOMLMLNHJGFDF08EA,70.54,4.51,2.83,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷７５號四樓,15.69,住,,,1110210,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.22999999999999,2,2,1,有,有,10900000,103330,坡道平面,37.13,1900000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：22484元預售屋、或土地及建物分件登記案件；,RPTPMLMLNHJGFDF68EA,51.74,3.19,2.82,有,
土城區,房地(土地+建物),新北市土城區亞洲路１０２號,173.92,工,,,1110106,土地1建物1車位0,全,二層,透天厝,工商用,鋼筋混凝土造,,260.04,0,0,0,無,無,35800000,137671,,0.0,0,買賣標的為廠辦，購買時無隔間。親友、員工、共有人或其他特殊關係間之交易；,RPWPMLSLNHJGFAF56DA,240.84,6.0,13.2,無,
