鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
霧峰區,土地,新六股段967地號,203.49,,特定農業區,甲種建築用地,1130415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7386000,36297,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLOLMHJGFIB38DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區新仁路一段７１巷８號九樓之２,33.41,,鄉村區,乙種建築用地,1130412,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060918,164.9,3,2,2,有,有,14500000,87932,坡道平面,0.0,0,,RPPPMLKMMHJGFIB08DA,77.35,7.47,5.41,有,0271
大里區,房地(土地+建物),臺中市大里區三民一街１０巷７號,107.89,,鄉村區,乙種建築用地,1130419,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0720520,86.08,3,1,2,有,無,7580000,88058,,0.0,0,,RPPOMLNJNHJGFIB08DA,81.05,0.0,5.03,無,0272
烏日區,房地(土地+建物),臺中市烏日區大同路１１號,128.43,都市：其他:第一種住宅區,,,1130409,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,0830602,263.35,8,2,3,有,無,32880000,124853,,0.0,0,,RPSOMLPKNHJGFIB68DA,244.08,5.77,13.5,無,0273
大里區,房地(土地+建物)+車位,臺中市大里區光明路１０號七樓之２,31.79,,鄉村區,乙種建築用地,1130407,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121101,145.29000000000002,3,2,2,有,有,12400000,85347,坡道平面,25.82,0,,RPXNMLRKNHJGFIB66DA,73.77,0.0,6.32,有,0274
大里區,房地(土地+建物),臺中市大里區成功二路２５２巷９號,242.78,,鄉村區,乙種建築用地,1130416,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0851122,160.53,5,3,4,有,無,25000000,155734,,0.0,0,頂樓加蓋；其他增建；,RPXNMLMLNHJGFIB88DA,151.66,0.0,8.87,無,
霧峰區,土地,南勢西段1040地號,162.42,,特定農業區,甲種建築用地,1130415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,15023,,0.0,0,二親等買賣親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTSNLMLNHJGFIB09DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),臺中市大里區大里路４９９巷２號,90.33,,特定農業區,甲種建築用地,1130416,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120412,211.04,3,1,3,有,無,22680000,107468,,0.0,0,其他增建；,RPPNMLNLNHJGFIB18DA,199.67,0.0,11.37,有,
大里區,房地(土地+建物)+車位,臺中市大里區健民路２３巷５６號七樓之２,17.46,,鄉村區,乙種建築用地,1130420,土地3建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110223,121.24,2,1,1,有,有,8750000,72171,坡道平面,33.46,0,,RPWNMLNLNHJGFIB88DA,52.27,0.0,5.96,有,0275
大里區,房地(土地+建物)+車位,臺中市大里區光正路５８號九樓之６,25.47,,鄉村區,乙種建築用地,1130417,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040519,127.49000000000001,2,2,1,有,有,9920000,77810,坡道平面,31.89,0,,RPWOMLNLNHJGFIB98DA,53.4,6.09,4.43,有,0276
太平區,房地(土地+建物),臺中市太平區樹德一街１３巷５１號,184.25,住,,,1130410,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0730627,163.27,5,3,4,有,無,27000000,165370,,0.0,0,,RPPOMLKMMHJGFJB08DA,151.63,2.44,9.2,無,
